,交易市场,股票名称,股票代码,当前价,涨跌额,涨跌幅%,年初至今,成交量,成交额(元),换手率,市盈率,股息率%,市值(元)
124,US,小赢科技,XYF,3.79,-0.115,-2.9449,3.55,5477.0,20869.0,0.01,1.113,4.353,182488849.0
125,US,22nd Century,XXII,1.68,0.08,5.0,-43.61,952556.0,1584167.0,17.0,,0.0,9413507.0
126,US,XWELL,XWEL,1.42,-0.06,-4.0541,-18.39,3036.0,4400.0,0.07,,0.0,5935076.0
127,US,UBS ETrc Da LoSh VIX,XVIX,18.77,,,,,,,0.0,,14077500.0
128,US,Xtant Medical,XTNT,0.8372,-0.0428,-4.8636,-25.91,88394.0,79995.0,0.07,165.178,,109017288.0
129,US,Xtl生物制药,XTLB,2.6,-0.16,-5.7971,157.4,23762.0,62787.0,0.44,,,14167559.0
130,US,X3 Holdings,XTKG,0.704,-0.02,-2.76,-36.0,372291.0,272701.0,0.14,,0.0,182834483.0
131,US,XTI Aerospace,XTIA,3.09,0.24,8.4211,-41.37,306398.0,906461.0,3.13,,0.0,30241215.0
132,US,"Xspand Products Lab, Inc.",XSPL,6.72,,,,,,,,,29486822.0
133,US,XpresSpa Group,XSPA,0.655,,,,,,,,0.0,61752167.0
134,US,施乐,XRX,16.85,-0.39,-2.2622,-6.76,2065861.0,34844645.0,1.66,2092.519,6.555,2092519306.0
135,US,XORTX Therapeutics,XRTX,3.36,-0.195,-5.4852,45.45,11636.0,40229.0,0.4,,0.0,9739178.0
136,US,Xerium技术,XRM,13.49,,,,,,,,,221608364.0
137,US,信而富,XRF,3.05,,,,,,,,0.0,41315224.0
138,US,Dentsply Sirona,XRAY,31.3,-0.72,-2.2486,-11.62,3000870.0,93688170.0,1.45,,1.839,6498714020.0
139,US,Expro Group,XPRO,19.56,-1.06,-5.1406,22.86,683779.0,13683887.0,0.62,,,2156725972.0
140,US,Expion360,XPON,1.915,-0.175,-8.37,-64.47,58550.0,120468.0,0.83,,,13475734.0
141,US,Xponential Fitness,XPOF,14.39,-0.48,-3.228,11.64,450165.0,6521279.0,0.95,,,683366710.0
142,US,DPCM CPTL INC WT,XPOA+,0.45,,,,,,,,,
143,US,Dpcm Capital,XPOA,8.66,,,,,,,59.863,,324750000.0
144,US,XPO INC ORD,XPO,125.8,-1.12,-0.8824,43.62,701148.0,87794153.0,0.6,77.418,,14632065073.0
145,US,Xplore Technologies,XPLR,5.99,,,,,,,199.667,,71434463.8
146,US,Solitario Resources,XPL,0.68,-0.0082,-1.1915,21.41,1672405.0,1137017.0,2.1,,,54152723.0
147,US,小鹏汽车,XPEV,7.46,-0.81,-9.79,-48.87,16766818.0,127043865.0,1.77,,,7048104649.0
148,US,Xperi,XPER,10.23,-0.49,-4.5709,-7.17,258100.0,2659879.0,0.58,,,452895020.0
